"titulo","empresa","ubicacion","modalidad","salario","fechaPublicacion","descripcion"
"EG Barrendero Vespertino Central de Abastos","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 8,000.00 (Mensual)","Hace 2 días (actualizada)","Importante empresa de MANTENIMIENTO está en busca de tu talento

Solicita: BARRENDERO VESPERTINO

OFRECEMOS:
• Sueldo de hasta $8,000
• Prestaciones de ley
• PAGO SEMANAL

REQUISITOS:

• SIN EXPERIENCIA
• Escolaridad mínima
• L a D
• Horario fijo

ZONA DE TRABAJO: CENTRAL DE ABASTOS, IZTAPALAPA, CDMX

Si estas interesada/o postúlate con tu CV actualizado"
"EG Barrendero Nocturno Central de Abastos","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 10,000.00 (Mensual)","Hace 2 días (actualizada)","Importante empresa de MANTENIMIENTO está en busca de tu talento

Solicita: BARRENDERO NOCTURNO

OFRECEMOS:
• Sueldo de hasta $10,000
• Prestaciones de ley
• PAGO SEMANAL

REQUISITOS:

• SIN EXPERIENCIA
• Escolaridad mínima
• L a D
• Horario fijo

ZONA DE TRABAJO: CENTRAL DE ABASTOS, IZTAPALAPA, CDMX

Si estas interesada/o postúlate con tu CV actualizado"
"Barrendero/A - Turno Nocturno o Vespertino","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","A convenir","Hace 5 días (actualizada)","Buscamos tu talento como Barrendero/a para turno Nocturno o Vespertino:

Zona de trabajo: Central de abastos Iztapalapa

Barrenderos Nocturno (Horario 5 pm a 5 am)

Barrenderos Vespertino (Horario de 10 am a 7:00 pm)

Lunes a domingo descanso entre semana

*Contratacion inmediata*
Contar con documentacion (Acta de nacimiento, Comprobante de clabe interbancaria es decir cuenta de banco, nss, curp, ine, constancia de situacion fiscal y comprobante de domicilo)

Agenda hoy mismo comunicate al 5 5 796 9 59 09"
"EG Barrendero Vespertino Central de Abastos","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 8,000.00 (Mensual)","Hace 5 días (actualizada)","Importante empresa de MANTENIMIENTO está en busca de tu talento

Solicita: BARRENDERO VESPERTINO

OFRECEMOS:
• Sueldo de hasta $8,000
• Prestaciones de ley
• PAGO SEMANAL

REQUISITOS:

• SIN EXPERIENCIA
• Escolaridad mínima
• L a D
• Horario fijo

ZONA DE TRABAJO: CENTRAL DE ABASTOS, IZTAPALAPA, CDMX

Si estas interesada/o postúlate con tu CV actualizado"
"EG Barrendero Nocturno Central de Abastos","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 10,000.00 (Mensual)","Hace 5 días (actualizada)","Importante empresa de MANTENIMIENTO está en busca de tu talento

Solicita: BARRENDERO NOCTURNO

OFRECEMOS:
• Sueldo de hasta $10,000
• Prestaciones de ley
• PAGO SEMANAL

REQUISITOS:

• SIN EXPERIENCIA
• Escolaridad mínima
• L a D
• Horario fijo

ZONA DE TRABAJO: CENTRAL DE ABASTOS, IZTAPALAPA, CDMX

Si estas interesada/o postúlate con tu CV actualizado"
"Barrendero Nocturno - En Central de Abastos Iztapalapa","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 10,000.00 (Mensual)","Hace 6 días (actualizada)","Importante empresa dedicada al sector limpieza solicita Barrendero para el turno Nocturno.

Requisitos:
- Mayor de 18 años
- Experiencia no necesaria

Ofrecemos:

- $10,000 mensuales netos (Pago semanal)
- Prestaciones de ley
- Trabajo de Lunes a Domingo con 1 descanso en la semana
- Horario de 5:00 pm a 5:00 am

Zona de trabajo: Central de Abastos Iztapalapa.

Actividades : acompañamiento de camiones

Levantar basura de cajones de tolva

Levantar basura que cae de los camiones al momento de la carga

Levantar basura al paso del recorrido

Interesados que cuenten con documentos (Acta de nacimiento, Cuenta de Banco, Comprobante de domicilio, INE, CURP, IMSS, RFC) postularse por éste medio, y un ejecutivo te contactará por whatsapp."
"Barrendero con turno fijo en la tarde - En Central de Abastos Iztapalapa","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 10,000.00 (Mensual)","Hace 6 días (actualizada)","Importante empresa dedicada al sector limpieza solicita Barrendero.

Requisitos:
- Mayor de 18 años
- Experiencia no necesaria

Ofrecemos:

- $8,000 mensuales netos (Pago semanal)
- Prestaciones de ley
- Trabajo de Lunes a Domingo con 1 descanso en la semana
- Horario de 10:00 am a 7:00 pm

Zona de trabajo: Central de Abastos Iztapalapa.

Actividades : acompañamiento de camiones

Levantar basura de cajones de tolva

Levantar basura que cae de los camiones al momento de la carga

Levantar basura al paso del recorrido

Interesados que cuenten con documentos (Acta de nacimiento, Cuenta de Banco, Comprobante de domicilio, INE, CURP, IMSS, RFC) postularse por éste medio, y un ejecutivo te contactará por whatsapp."
"Barrendero Central de Abastos - Iztapalapa","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 10,000.00 (Mensual)","Hace 7 días (actualizada)","Importante mercado está en busca de tu talento

SOLICITA BARRENDERO MATUTINO O NOCTURNO

OFRECEMOS:

Sueldo de $8,0000 a $10,000 neto mensual
Uniforme gratuito
Prestaciones de ley

REQUISITOS:

Experiencia no necesaria
Primaria concluida
Documentos completos en copia
Lunes a Domingo de 5pm a 5am o 10am a 7pm, 1 descanso rolado a la semana
Zona de trabajo: Central de abastos Iztapalapa, CDMX

55
11 41
22 82

Si estas interesada/o postúlate con tu CV actualizado"
"EG Barrendero Vespertino Central de Abastos","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 8,000.00 (Mensual)","Hace 5 días (actualizada)","Importante empresa de MANTENIMIENTO está en busca de tu talento

Solicita: BARRENDERO VESPERTINO

OFRECEMOS:
• Sueldo de hasta $8,000
• Prestaciones de ley
• PAGO SEMANAL

REQUISITOS:

• SIN EXPERIENCIA
• Escolaridad mínima
• L a D
• Horario fijo

ZONA DE TRABAJO: CENTRAL DE ABASTOS, IZTAPALAPA, CDMX

Si estas interesada/o postúlate con tu CV actualizado"
"EG Barrendero Nocturno Central de Abastos","Idea Market Solutions","Idea Market Solutions - Iztapalapa, Ciudad de México DF","Tiempo Completo","$ 10,000.00 (Mensual)","Hace 5 días (actualizada)","Importante empresa de MANTENIMIENTO está en busca de tu talento

Solicita: BARRENDERO NOCTURNO

OFRECEMOS:
• Sueldo de hasta $10,000
• Prestaciones de ley
• PAGO SEMANAL

REQUISITOS:

• SIN EXPERIENCIA
• Escolaridad mínima
• L a D
• Horario fijo

ZONA DE TRABAJO: CENTRAL DE ABASTOS, IZTAPALAPA, CDMX

Si estas interesada/o postúlate con tu CV actualizado"
